date,state,fips,cases,deaths
3/1/2020,New York,36,1,0
3/2/2020,New York,36,1,0
3/3/2020,New York,36,2,0
3/4/2020,New York,36,11,0
3/5/2020,New York,36,22,0
3/6/2020,New York,36,44,0
3/7/2020,New York,36,89,0
3/8/2020,New York,36,106,0
3/9/2020,New York,36,142,0
3/10/2020,New York,36,173,0
3/11/2020,New York,36,217,0
3/12/2020,New York,36,326,0
3/13/2020,New York,36,421,0
3/14/2020,New York,36,610,2
3/15/2020,New York,36,732,6
3/16/2020,New York,36,950,10
3/17/2020,New York,36,1375,18
3/18/2020,New York,36,2387,32
3/19/2020,New York,36,4161,39
3/20/2020,New York,36,7113,68
3/21/2020,New York,36,10371,95
3/22/2020,New York,36,15188,142
3/23/2020,New York,36,20899,183
3/24/2020,New York,36,25703,256
3/25/2020,New York,36,33116,375
3/26/2020,New York,36,39057,502
3/27/2020,New York,36,44745,645
3/28/2020,New York,36,53516,935
3/29/2020,New York,36,59783,1180
3/30/2020,New York,36,67462,1512
3/31/2020,New York,36,76211,1929
4/1/2020,New York,36,84363,2415
4/2/2020,New York,36,92971,2963
4/3/2020,New York,36,103651,3716
4/4/2020,New York,36,115963,4535
4/5/2020,New York,36,124085,5335
4/6/2020,New York,36,132061,6130
4/7/2020,New York,36,141703,7185
4/8/2020,New York,36,151271,8138
4/9/2020,New York,36,162036,9166
4/10/2020,New York,36,172830,10162
4/11/2020,New York,36,182990,11159
4/12/2020,New York,36,191425,12116
4/13/2020,New York,36,197973,12998
4/14/2020,New York,36,205375,14001
4/15/2020,New York,36,217130,14937
4/16/2020,New York,36,225761,15669
4/17/2020,New York,36,233293,16473
4/18/2020,New York,36,240542,17141
4/19/2020,New York,36,246741,17793
4/20/2020,New York,36,251608,18412
4/21/2020,New York,36,255932,19040
4/22/2020,New York,36,261591,19647
4/23/2020,New York,36,267932,20212
4/24/2020,New York,36,276218,20759
4/25/2020,New York,36,286901,21326
4/26/2020,New York,36,292914,21804
4/27/2020,New York,36,296991,22267
4/28/2020,New York,36,300276,22777
4/29/2020,New York,36,304994,23287
4/30/2020,New York,36,309696,23616
5/1/2020,New York,36,313575,23841
5/2/2020,New York,36,318134,24035
5/3/2020,New York,36,321833,24576
5/4/2020,New York,36,324357,24788
5/5/2020,New York,36,326659,25028
5/6/2020,New York,36,329405,25956
5/7/2020,New York,36,332931,26206
5/8/2020,New York,36,335804,26358
5/9/2020,New York,36,338519,26584
5/10/2020,New York,36,340657,26798
5/11/2020,New York,36,342267,27003
5/12/2020,New York,36,343705,27282
5/13/2020,New York,36,345828,27448
5/14/2020,New York,36,348192,27617
