Date,ICT,Punjab,Sindh,KPK,Balochistan,GB,AJK
10-Mar-20,2,0,14,0,1,2,0
11-Mar-20,2,0,14,0,1,3,0
12-Mar-20,2,0,15,0,1,3,0
13-Mar-20,3,0,16,0,6,3,0
14-Mar-20,4,0,18,0,6,3,0
15-Mar-20,4,1,34,0,11,3,0
16-Mar-20,4,1,150,15,14,3,0
17-Mar-20,5,26,172,17,15,3,0
18-Mar-20,5,33,208,19,23,13,1
19-Mar-20,10,83,238,23,81,21,1
20-Mar-20,10,104,259,27,103,30,1
21-Mar-20,11,152,292,31,104,55,1
22-Mar-20,15,225,352,31,108,71,1
23-Mar-20,15,249,399,38,110,80,1
24-Mar-20,16,296,413,78,115,81,1
25-Mar-20,25,323,417,121,131,84,1
26-Mar-20,27,408,429,147,131,91,2
27-Mar-20,36,490,457,180,133,107,2
28-Mar-20,43,558,481,188,138,116,2
29-Mar-20,51,593,508,195,144,128,6
30-Mar-20,54,652,627,221,153,148,6
31-Mar-20,54,708,676,253,158,184,6
1-Apr-20,62,845,743,274,169,187,9
2-Apr-20,68,920,783,311,169,190,9
3-Apr-20,75,1072,839,343,175,193,11
4-Apr-20,78,1163,864,372,185,206,12
5-Apr-20,82,1493,881,415,191,210,15
6-Apr-20,83,1918,932,500,202,211,18
7-Apr-20,92,2030,986,529,206,212,19
8-Apr-20,102,2171,1036,555,212,213,28
9-Apr-20,107,2279,1128,617,219,215,33
10-Apr-20,113,2336,1214,652,220,215,34
11-Apr-20,119,2425,1318,697,228,216,35
12-Apr-20,131,2594,1411,744,230,224,40
13-Apr-20,131,2826,1452,800,231,233,43
14-Apr-20,140,2945,1518,862,240,234,46
15-Apr-20,145,3217,1668,935,280,237,46
16-Apr-20,154,3276,2008,984,303,245,46
17-Apr-20,163,3391,2217,1075,335,250,48
18-Apr-20,171,3649,2355,1137,376,257,48
19-Apr-20,181,3721,2537,1237,432,263,49
20-Apr-20,185,4195,2764,1276,465,281,50
21-Apr-20,194,4328,3053,1367,495,283,51
22-Apr-20,204,4590,3373,1453,552,290,51
23-Apr-20,214,4767,3671,1541,607,300,55
24-Apr-20,223,5046,3945,1708,656,307,55
25-Apr-20,235,5378,4232,1793,722,308,55
26-Apr-20,245,5446,4615,1864,781,318,59
27-Apr-20,261,5640,4956,1984,853,320,65
28-Apr-20,297,5827,5291,2160,915,330,65
29-Apr-20,313,6061,5695,2313,978,333,66
30-Apr-20,343,6340,6053,2627,1049,339,66
1-May-20,365,6733,6675,2799,1136,340,66
02-May-20,393,7106,7102,2907,1172,356,66
03-May-20,415,7524,7465,3129,1218,364,71
04-May-20,415,8103,7882,3288,1321,372,71
05-May-20,464,8420,8189,3499,1495,386,71
